text,label
Wipro faces legal challenges impacting market confidence.,negative
Market participants await SBI quarterly results.,neutral
ITC faces legal challenges impacting market confidence.,negative
Axis Bank posts record profits of INR 899 crore.,positive
Cipla completes acquisition of Financial Corp.,neutral
Analysts downgrade SBI citing poor performance.,negative
Market participants await Adani Ports quarterly results.,neutral
Market participants await Cipla quarterly results.,neutral
Infosys stock hits 52-week high on strong demand.,positive
Analysts upgrade HDFC Bank on improved growth outlook.,positive
Tech Mahindra beats market expectations with 33% profit growth.,positive
Investors exit Cipla after disappointing Q1 guidance.,negative
HCL Technologies announces leadership changes in key divisions.,neutral
Tata Motors announces leadership changes in key divisions.,neutral
Shares of SBI surge after strong Q1 results.,positive
Power Grid announces leadership changes in key divisions.,neutral
Analysts downgrade UltraTech Cement citing poor performance.,negative
Bajaj Finance announces leadership changes in key divisions.,neutral
Investors exit Dr. Reddy's after disappointing Q3 guidance.,negative
Tata Motors completes acquisition of Industrial Group.,neutral
Asian Paints posts losses of INR 4535 crore this quarter.,negative
Shares of Hindustan Unilever trade flat amid mixed market sentiment.,neutral
Analysts downgrade Asian Paints citing poor performance.,negative
"ABCAPITAL shares gain 3% after strong Q2 results, analysts positive. Aditya Birla Capital Ltd (ABCAPITAL) witnessed its shares rise by 3.1% on the National Stock Exchange (NSE), closing at ₹185.30 on October 3, 2025, following the announcement of its robust Q2 FY26 earnings. The trading volume for ABCAPITAL shares surged to 8.5 million, significantly exceeding its 30-day average, indicating strong investor interest. Brokerage firm Motilal Oswal reiterated its 'Buy' rating for the stock, setting a revised target price of ₹210, citing the company's strong business momentum and diversified financial services portfolio. The company's lending book, a key growth driver, expanded by 20% year-on-year, contributing to the positive sentiment. Furthermore, the wealth management segment's Assets Under Management (AUM) reached ₹2.5 lakh crore, showcasing consistent growth in fee-based businesses. The general insurance business reported a healthy combined ratio of 98.5%, reflecting efficient underwriting and claims management. Analysts highlighted the company's strategic focus on digital transformation and customer acquisition as key factors for sustained performance. This positive market reaction underscores investor confidence in Aditya Birla Capital's financial health and future growth prospects.",neutral
Dr. Reddy's completes successful acquisition of Financial Corp.,positive
Bajaj Finance announces 9% increase in dividend payout.,positive
Hindustan Unilever completes acquisition of Digital Services.,neutral
Shares of Power Grid trade flat amid mixed market sentiment.,neutral
ICICI Bank stock plunges 17% amid concerns over debt levels.,negative
Asian Paints reports a 11% rise in quarterly revenue.,positive
Dr. Reddy's completes successful acquisition of Industrial Group.,positive
Reliance Industries beats market expectations with 21% profit growth.,positive
ITC beats market expectations with 19% profit growth.,positive
Tech Mahindra schedules board meeting for Q1.,neutral
Kotak Mahindra Bank beats market expectations with 10% profit growth.,positive
Kotak Mahindra Bank completes acquisition of Industrial Group.,neutral
ICICI Bank faces legal challenges impacting market confidence.,negative
Market participants await Hindustan Unilever quarterly results.,neutral
Power Grid announces 8% increase in dividend payout.,positive
Wipro stock plunges 25% amid concerns over debt levels.,negative
ITC completes acquisition of Digital Services.,neutral
Asian Paints faces legal challenges impacting market confidence.,negative
Shares of Dr. Reddy's surge after strong Q2 results.,positive
Bharti Airtel faces regulatory investigation over irregularities.,negative
Titan Company introduces a new product line in the domestic market.,neutral
Market participants await ITC quarterly results.,neutral
Tech Mahindra introduces a new product line in the domestic market.,neutral
Bharti Airtel announces leadership changes in key divisions.,neutral
Dr. Reddy's completes acquisition of Digital Services.,neutral
Power Grid introduces a new product line in the domestic market.,neutral
Shares of JSW Steel fall after weak Q3 results.,negative
Power Grid announces organizational restructuring.,neutral
Regulatory action against Infosys triggers sell-off.,negative
ITC announces leadership changes in key divisions.,neutral
Mahindra & Mahindra introduces a new product line in the domestic market.,neutral
TCS completes acquisition of Logistics Inc.,neutral
Cipla completes successful acquisition of Logistics Inc.,positive
Bajaj Finance schedules board meeting for Q4.,neutral
Shares of Dr. Reddy's surge after strong Q4 results.,positive
HCL Technologies announces leadership changes in key divisions.,neutral
Wipro faces regulatory investigation over irregularities.,negative
Tata Motors posts losses of INR 2560 crore this quarter.,negative
Shares of Maruti Suzuki surge after strong Q2 results.,positive
Regulatory action against Bajaj Finance triggers sell-off.,negative
Investors exit Titan Company after disappointing Q3 guidance.,negative
HDFC Bank faces legal challenges impacting market confidence.,negative
TCS faces legal challenges impacting market confidence.,negative
ICICI Bank reports a 27% rise in quarterly revenue.,positive
Wipro posts record profits of INR 507 crore.,positive
Power Grid introduces a new product line in the domestic market.,neutral
Adani Ports schedules board meeting for Q1.,neutral
Tech Mahindra schedules board meeting for Q1.,neutral
Shares of Mahindra & Mahindra surge after strong Q2 results.,positive
JSW Steel announces organizational restructuring.,neutral
Market participants await Infosys quarterly results.,neutral
Tech Mahindra announces organizational restructuring.,neutral
ICICI Bank announces leadership changes in key divisions.,neutral
Reliance Industries announces 20% increase in dividend payout.,positive
Tata Motors reports robust performance with revenue of INR 2589 crore in Q2.,positive
Power Grid schedules board meeting for Q1.,neutral
ICICI Bank completes acquisition of Financial Corp.,neutral
Analysts upgrade Tata Motors on improved growth outlook.,positive
Hindustan Unilever completes acquisition of Digital Services.,neutral
"Sensex, Nifty decline on global trade concerns; Tata Motors, Infosys lead losers. Sensex traded 224.00 points or 0.27 per cent lower at 82,276.82 at 1.18 pm, and Nifty 50 was down by 74.45 points or 0.29 per cent to 25,210.90",negative
Mahindra & Mahindra completes successful acquisition of Financial Corp.,positive
Regulatory action against SBI triggers sell-off.,negative
Cipla faces regulatory investigation over irregularities.,negative
Market participants await ICICI Bank quarterly results.,neutral
Analysts upgrade Dr. Reddy's on improved growth outlook.,positive
Infosys schedules board meeting for Q3.,neutral
Regulatory action against Kotak Mahindra Bank triggers sell-off.,negative
Bharti Airtel posts losses of INR 2306 crore this quarter.,negative
ICICI Bank misses earnings estimates with 23% drop in profit.,negative
Hindustan Unilever reports a 25% decline in net profit.,negative
JSW Steel reports a 14% decline in net profit.,negative
ITC reports a 35% rise in quarterly revenue.,positive
Power Grid beats market expectations with 13% profit growth.,positive
ITC beats market expectations with 21% profit growth.,positive
SBI reports a 5% rise in quarterly revenue.,positive
Maruti Suzuki announces leadership changes in key divisions.,neutral
Investors exit UltraTech Cement after disappointing Q1 guidance.,negative
Investors cheer as Sun Pharma secures major contract worth INR 3223 crore.,positive
ICICI Bank posts record profits of INR 4011 crore.,positive
Analysts downgrade Asian Paints citing poor performance.,negative
Shares of Asian Paints trade flat amid mixed market sentiment.,neutral
HCL Technologies faces legal challenges impacting market confidence.,negative
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Reliance Industries announces 32% increase in dividend payout.,positive
Investors cheer as UltraTech Cement secures major contract worth INR 1513 crore.,positive
Dr. Reddy's introduces a new product line in the domestic market.,neutral
Shares of UltraTech Cement surge after strong Q2 results.,positive
Analysts downgrade Asian Paints citing poor performance.,negative
Tata Motors announces 32% increase in dividend payout.,positive
Infosys completes successful acquisition of Digital Services.,positive
Analysts upgrade HCL Technologies on improved growth outlook.,positive
Bharti Airtel stock hits 52-week high on strong demand.,positive
Investors cheer as Cipla secures major contract worth INR 4718 crore.,positive
Cipla posts losses of INR 3372 crore this quarter.,negative
UltraTech Cement completes acquisition of Capital Ltd.,neutral
Asian Paints completes acquisition of Energy Solutions.,neutral
Tech Mahindra misses earnings estimates with 7% drop in profit.,negative
Cipla completes successful acquisition of Energy Solutions.,positive
Investors exit Bharti Airtel after disappointing Q4 guidance.,negative
Power Grid completes acquisition of Industrial Group.,neutral
Sun Pharma faces regulatory investigation over irregularities.,negative
JSW Steel beats market expectations with 20% profit growth.,positive
Adani Ports announces leadership changes in key divisions.,neutral
Tata Motors stock hits 52-week high on strong demand.,positive
UltraTech Cement reports a 33% rise in quarterly revenue.,positive
ITC introduces a new product line in the domestic market.,neutral
Maruti Suzuki announces 13% increase in dividend payout.,positive
TCS completes acquisition of Capital Ltd.,neutral
Titan Company announces leadership changes in key divisions.,neutral
Bajaj Finance beats market expectations with 33% profit growth.,positive
HDFC Bank announces organizational restructuring.,neutral
ICICI Bank beats market expectations with 24% profit growth.,positive
Analysts upgrade Asian Paints on improved growth outlook.,positive
UltraTech Cement faces legal challenges impacting market confidence.,negative
HDFC Bank misses earnings estimates with 16% drop in profit.,negative
Kotak Mahindra Bank announces 11% increase in dividend payout.,positive
Titan Company faces legal challenges impacting market confidence.,negative
Investors cheer as Kotak Mahindra Bank secures major contract worth INR 2021 crore.,positive
Shares of TCS fall after weak Q4 results.,negative
HCL Technologies stock hits 52-week high on strong demand.,positive
Infosys announces leadership changes in key divisions.,neutral
JSW Steel beats market expectations with 27% profit growth.,positive
Wipro faces legal challenges impacting market confidence.,negative
Sun Pharma beats market expectations with 30% profit growth.,positive
TCS announces leadership changes in key divisions.,neutral
Investors exit ICICI Bank after disappointing Q4 guidance.,negative
HCL Technologies announces leadership changes in key divisions.,neutral
Shares of ICICI Bank fall after weak Q2 results.,negative
Wipro completes acquisition of Capital Ltd.,neutral
Sun Pharma misses earnings estimates with 24% drop in profit.,negative
ICICI Bank reports a 21% rise in quarterly revenue.,positive
Analysts downgrade Reliance Industries citing poor performance.,negative
HCL Technologies reports a 6% decline in net profit.,negative
Market participants await Mahindra & Mahindra quarterly results.,neutral
Dr. Reddy's posts record profits of INR 2301 crore.,positive
Shares of TCS fall after weak Q2 results.,negative
Investors exit Kotak Mahindra Bank after disappointing Q1 guidance.,negative
Regulatory action against Tata Motors triggers sell-off.,negative
Sun Pharma reports robust performance with revenue of INR 1745 crore in Q4.,positive
Hindustan Unilever completes acquisition of Capital Ltd.,neutral
Sun Pharma reports a 24% decline in net profit.,negative
Wipro reports a 11% decline in net profit.,negative
Mahindra & Mahindra completes acquisition of Industrial Group.,neutral
Bajaj Finance beats market expectations with 24% profit growth.,positive
UltraTech Cement completes acquisition of Capital Ltd.,neutral
Investors exit UltraTech Cement after disappointing Q2 guidance.,negative
Reliance Industries faces legal challenges impacting market confidence.,negative
Hindustan Unilever beats market expectations with 7% profit growth.,positive
Tata Motors misses earnings estimates with 8% drop in profit.,negative
Infosys reports robust performance with revenue of INR 471 crore in Q4.,positive
Mahindra & Mahindra faces legal challenges impacting market confidence.,negative
Sun Pharma announces organizational restructuring.,neutral
ITC misses earnings estimates with 23% drop in profit.,negative
HCL Technologies completes successful acquisition of Energy Solutions.,positive
Analysts upgrade Bharti Airtel on improved growth outlook.,positive
Tata Motors posts record profits of INR 1550 crore.,positive
Tata Motors faces regulatory investigation over irregularities.,negative
Kotak Mahindra Bank faces regulatory investigation over irregularities.,negative
Investors exit Tech Mahindra after disappointing Q1 guidance.,negative
Regulatory action against SBI triggers sell-off.,negative
Regulatory action against Power Grid triggers sell-off.,negative
Shares of Reliance Industries surge after strong Q3 results.,positive
Investors exit SBI after disappointing Q3 guidance.,negative
TCS stock hits 52-week high on strong demand.,positive
Shares of Bajaj Finance fall after weak Q2 results.,negative
SBI completes acquisition of Capital Ltd.,neutral
Maruti Suzuki faces regulatory investigation over irregularities.,negative
Mahindra & Mahindra reports a 9% decline in net profit.,negative
Analysts upgrade Power Grid on improved growth outlook.,positive
HCL Technologies introduces a new product line in the domestic market.,neutral
Shares of Kotak Mahindra Bank surge after strong Q2 results.,positive
JSW Steel misses earnings estimates with 3% drop in profit.,negative
Tata Motors announces organizational restructuring.,neutral
Reliance Industries schedules board meeting for Q4.,neutral
Shares of HCL Technologies trade flat amid mixed market sentiment.,neutral
Market participants await Tata Motors quarterly results.,neutral
Wipro announces organizational restructuring.,neutral
Regulatory action against Sun Pharma triggers sell-off.,negative
Regulatory action against Kotak Mahindra Bank triggers sell-off.,negative
Axis Bank faces legal challenges impacting market confidence.,negative
Tata Motors beats market expectations with 32% profit growth.,positive
Bajaj Finance stock hits 52-week high on strong demand.,positive
Shares of Adani Ports trade flat amid mixed market sentiment.,neutral
ITC introduces a new product line in the domestic market.,neutral
SBI faces legal challenges impacting market confidence.,negative
Dr. Reddy's reports robust performance with revenue of INR 4541 crore in Q1.,positive
Reliance Industries schedules board meeting for Q1.,neutral
Investors cheer as Tech Mahindra secures major contract worth INR 2096 crore.,positive
ICICI Bank posts losses of INR 3906 crore this quarter.,negative
JSW Steel announces leadership changes in key divisions.,neutral
Adani Ports posts losses of INR 729 crore this quarter.,negative
HDFC Bank faces regulatory investigation over irregularities.,negative
SBI faces regulatory investigation over irregularities.,negative
Sun Pharma announces 7% increase in dividend payout.,positive
Analysts downgrade Asian Paints citing poor performance.,negative
Wipro beats market expectations with 31% profit growth.,positive
Regulatory action against ITC triggers sell-off.,negative
Shares of Bajaj Finance surge after strong Q4 results.,positive
Tata Motors posts losses of INR 2375 crore this quarter.,negative
Shares of HDFC Bank surge after strong Q3 results.,positive
UltraTech Cement completes successful acquisition of Energy Solutions.,positive
Cipla reports a 23% decline in net profit.,negative
Market participants await HCL Technologies quarterly results.,neutral
Wipro announces organizational restructuring.,neutral
Investors exit Tech Mahindra after disappointing Q4 guidance.,negative
Bajaj Finance announces organizational restructuring.,neutral
Power Grid faces legal challenges impacting market confidence.,negative
Tata Motors completes successful acquisition of Logistics Inc.,positive
Infosys announces leadership changes in key divisions.,neutral
Wipro posts losses of INR 4226 crore this quarter.,negative
JSW Steel faces regulatory investigation over irregularities.,negative
Analysts downgrade Cipla citing poor performance.,negative
ITC announces leadership changes in key divisions.,neutral
JSW Steel introduces a new product line in the domestic market.,neutral
Tech Mahindra stock hits 52-week high on strong demand.,positive
Maruti Suzuki introduces a new product line in the domestic market.,neutral
Investors cheer as Maruti Suzuki secures major contract worth INR 1370 crore.,positive
Tech Mahindra faces regulatory investigation over irregularities.,negative
Dr. Reddy's reports robust performance with revenue of INR 4907 crore in Q2.,positive
Dr. Reddy's faces legal challenges impacting market confidence.,negative
Maruti Suzuki reports a 11% rise in quarterly revenue.,positive
Axis Bank faces regulatory investigation over irregularities.,negative
Cipla introduces a new product line in the domestic market.,neutral
UltraTech Cement stock plunges 10% amid concerns over debt levels.,negative
HCL Technologies announces 19% increase in dividend payout.,positive
Infosys schedules board meeting for Q2.,neutral
Maruti Suzuki posts record profits of INR 663 crore.,positive
Shares of Titan Company trade flat amid mixed market sentiment.,neutral
Sun Pharma completes successful acquisition of Energy Solutions.,positive
Investors exit TCS after disappointing Q1 guidance.,negative
Dr. Reddy's announces 9% increase in dividend payout.,positive
Dr. Reddy's misses earnings estimates with 23% drop in profit.,negative
Tech Mahindra misses earnings estimates with 8% drop in profit.,negative
Hindustan Unilever completes successful acquisition of Capital Ltd.,positive
Shares of SBI trade flat amid mixed market sentiment.,neutral
Shares of Infosys fall after weak Q1 results.,negative
UltraTech Cement stock hits 52-week high on strong demand.,positive
Shares of Cipla fall after weak Q4 results.,negative
Regulatory action against Bajaj Finance triggers sell-off.,negative
Market participants await HDFC Bank quarterly results.,neutral
Axis Bank stock hits 52-week high on strong demand.,positive
Adani Ports misses earnings estimates with 22% drop in profit.,negative
Titan Company reports a 16% rise in quarterly revenue.,positive
Regulatory action against Sun Pharma triggers sell-off.,negative
Wipro completes acquisition of Financial Corp.,neutral
Adani Ports faces regulatory investigation over irregularities.,negative
JSW Steel announces organizational restructuring.,neutral
Power Grid completes successful acquisition of Energy Solutions.,positive
Analysts downgrade Titan Company citing poor performance.,negative
Bharti Airtel reports a 6% rise in quarterly revenue.,positive
Hindustan Unilever schedules board meeting for Q2.,neutral
Investors exit Cipla after disappointing Q2 guidance.,negative
Analysts downgrade Adani Ports citing poor performance.,negative
Regulatory action against Cipla triggers sell-off.,negative
JSW Steel schedules board meeting for Q3.,neutral
Wipro announces 16% increase in dividend payout.,positive
ITC faces legal challenges impacting market confidence.,negative
Asian Paints reports a 6% decline in net profit.,negative
Bharti Airtel faces regulatory investigation over irregularities.,negative
Market participants await ICICI Bank quarterly results.,neutral
Hindustan Unilever faces regulatory investigation over irregularities.,negative
Tech Mahindra stock hits 52-week high on strong demand.,positive
Maruti Suzuki reports a 35% rise in quarterly revenue.,positive
Titan Company introduces a new product line in the domestic market.,neutral
Investors cheer as Hindustan Unilever secures major contract worth INR 4393 crore.,positive
Kotak Mahindra Bank announces organizational restructuring.,neutral
Shares of Sun Pharma trade flat amid mixed market sentiment.,neutral
"Aditya Birla Capital to raise ₹1,500 crore via NCDs for business expansion. Aditya Birla Capital Limited's Board of Directors has approved a plan to raise up to ₹1,500 crore through the issuance of Non-Convertible Debentures (NCDs). These NCDs will be issued in one or more tranches, as part of the company's strategy to fund its ongoing business growth and meet general corporate purposes. A regulatory filing regarding this decision was made to both the BSE and NSE on October 2, 2025, ensuring transparency for investors. The capital raised is primarily intended to be deployed across its various subsidiaries, particularly in the lending and asset management businesses, to support their aggressive expansion plans. This strategic move aims to strengthen the company's overall capital base, enabling it to capitalize on emerging opportunities in the retail finance and wealth management sectors. The decision reflects Aditya Birla Capital's commitment to enhancing its financial flexibility and sustaining its growth trajectory in the competitive Indian financial services market. This capital infusion is expected to bolster the company's ability to increase its market share and introduce new products.",neutral
Hindustan Unilever completes acquisition of Tech Solutions.,neutral
JSW Steel reports robust performance with revenue of INR 1985 crore in Q2.,positive
HCL Technologies faces regulatory investigation over irregularities.,negative
Sun Pharma introduces a new product line in the domestic market.,neutral
Dr. Reddy's announces organizational restructuring.,neutral
Cipla introduces a new product line in the domestic market.,neutral
Investors exit Hindustan Unilever after disappointing Q1 guidance.,negative
Shares of Wipro fall after weak Q2 results.,negative
SBI completes successful acquisition of Financial Corp.,positive
UltraTech Cement completes successful acquisition of Logistics Inc.,positive
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Analysts downgrade Adani Ports citing poor performance.,negative
Mahindra & Mahindra reports robust performance with revenue of INR 1720 crore in Q4.,positive
TCS stock hits 52-week high on strong demand.,positive
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Cipla schedules board meeting for Q1.,neutral
Sun Pharma announces organizational restructuring.,neutral
Analysts downgrade JSW Steel citing poor performance.,negative
Adani Ports introduces a new product line in the domestic market.,neutral
Asian Paints posts record profits of INR 3996 crore.,positive
UltraTech Cement reports a 8% decline in net profit.,negative
Infosys posts record profits of INR 2648 crore.,positive
Regulatory action against Titan Company triggers sell-off.,negative
ITC faces regulatory investigation over irregularities.,negative
Sun Pharma posts record profits of INR 1187 crore.,positive
JSW Steel beats market expectations with 28% profit growth.,positive
HCL Technologies completes acquisition of Industrial Group.,neutral
Asian Paints announces organizational restructuring.,neutral
Asian Paints completes successful acquisition of Digital Services.,positive
HDFC Bank announces 32% increase in dividend payout.,positive
Market participants await UltraTech Cement quarterly results.,neutral
Mahindra & Mahindra faces legal challenges impacting market confidence.,negative
Axis Bank reports a 18% rise in quarterly revenue.,positive
Investors cheer as Sun Pharma secures major contract worth INR 353 crore.,positive
Shares of Bajaj Finance fall after weak Q1 results.,negative
Dr. Reddy's schedules board meeting for Q3.,neutral
Maruti Suzuki misses earnings estimates with 4% drop in profit.,negative
Investors cheer as Tech Mahindra secures major contract worth INR 2270 crore.,positive
Shares of TCS trade flat amid mixed market sentiment.,neutral
Shares of Mahindra & Mahindra surge after strong Q3 results.,positive
Mahindra & Mahindra completes acquisition of Energy Solutions.,neutral
JSW Steel posts losses of INR 4376 crore this quarter.,negative
Axis Bank stock plunges 4% amid concerns over debt levels.,negative
Axis Bank stock hits 52-week high on strong demand.,positive
Sun Pharma misses earnings estimates with 7% drop in profit.,negative
Tata Motors completes acquisition of Tech Solutions.,neutral
Investors cheer as Dr. Reddy's secures major contract worth INR 3806 crore.,positive
ITC announces leadership changes in key divisions.,neutral
SBI reports a 5% decline in net profit.,negative
Bajaj Finance faces legal challenges impacting market confidence.,negative
Bajaj Finance announces leadership changes in key divisions.,neutral
Maruti Suzuki posts losses of INR 3051 crore this quarter.,negative
HDFC Bank introduces a new product line in the domestic market.,neutral
Dr. Reddy's completes successful acquisition of Energy Solutions.,positive
Regulatory action against Adani Ports triggers sell-off.,negative
Infosys stock hits 52-week high on strong demand.,positive
Investors cheer as JSW Steel secures major contract worth INR 2631 crore.,positive
Mahindra & Mahindra reports robust performance with revenue of INR 4549 crore in Q4.,positive
UltraTech Cement posts record profits of INR 3652 crore.,positive
Investors exit Axis Bank after disappointing Q2 guidance.,negative
Mahindra & Mahindra announces organizational restructuring.,neutral
Market participants await SBI quarterly results.,neutral
Investors cheer as UltraTech Cement secures major contract worth INR 1701 crore.,positive
Mahindra & Mahindra faces regulatory investigation over irregularities.,negative
JSW Steel completes successful acquisition of Tech Solutions.,positive
Reliance Industries posts record profits of INR 1269 crore.,positive
JSW Steel announces organizational restructuring.,neutral
Hindustan Unilever introduces a new product line in the domestic market.,neutral
Cipla introduces a new product line in the domestic market.,neutral
Cipla schedules board meeting for Q2.,neutral
Kotak Mahindra Bank announces leadership changes in key divisions.,neutral
Infosys misses earnings estimates with 3% drop in profit.,negative
Mahindra & Mahindra completes successful acquisition of Industrial Group.,positive
Axis Bank faces regulatory investigation over irregularities.,negative
Regulatory action against Maruti Suzuki triggers sell-off.,negative
Investors exit Axis Bank after disappointing Q4 guidance.,negative
Tech Mahindra introduces a new product line in the domestic market.,neutral
Infosys faces regulatory investigation over irregularities.,negative
Regulatory action against Bharti Airtel triggers sell-off.,negative
Bharti Airtel schedules board meeting for Q2.,neutral
Kotak Mahindra Bank reports a 5% decline in net profit.,negative
HDFC Bank schedules board meeting for Q2.,neutral
Shares of Cipla surge after strong Q2 results.,positive
ICICI Bank posts losses of INR 338 crore this quarter.,negative
Market participants await HCL Technologies quarterly results.,neutral
Power Grid schedules board meeting for Q2.,neutral
Investors cheer as Titan Company secures major contract worth INR 3975 crore.,positive
UltraTech Cement announces leadership changes in key divisions.,neutral
Market participants await Sun Pharma quarterly results.,neutral
Cipla announces 6% increase in dividend payout.,positive
Maruti Suzuki schedules board meeting for Q3.,neutral
Analysts downgrade Bharti Airtel citing poor performance.,negative
Tech Mahindra introduces a new product line in the domestic market.,neutral
Axis Bank reports a 28% rise in quarterly revenue.,positive
Analysts upgrade Bharti Airtel on improved growth outlook.,positive
Bharti Airtel announces leadership changes in key divisions.,neutral
Dr. Reddy's stock plunges 6% amid concerns over debt levels.,negative
Analysts upgrade HDFC Bank on improved growth outlook.,positive
Reliance Industries stock hits 52-week high on strong demand.,positive
Investors cheer as SBI secures major contract worth INR 1593 crore.,positive
Shares of HDFC Bank trade flat amid mixed market sentiment.,neutral
Kotak Mahindra Bank posts losses of INR 3457 crore this quarter.,negative
Shares of Axis Bank surge after strong Q2 results.,positive
HDFC Bank completes successful acquisition of Logistics Inc.,positive
"Stock Market Highlights 09 Oct 2025: Sensex ended 398.44 pts or 0.49% higher at 82,172.10. Nifty 50 gained 135.65 pts or 0.54% to close at 25,181.80. Sensex, Nifty, Share Prices Highlights : Stock markets rebounded on Thursday with the benchmark Sensex climbing 398 points following buying in IT firms and blue-chip Reliance Industries and foreign fund inflows.",neutral
Shares of Kotak Mahindra Bank surge after strong Q4 results.,positive
Axis Bank announces organizational restructuring.,neutral
Investors exit Tata Motors after disappointing Q3 guidance.,negative
SBI introduces a new product line in the domestic market.,neutral
Analysts downgrade Bajaj Finance citing poor performance.,negative
Maruti Suzuki announces organizational restructuring.,neutral
